IMD Rank,Country,Country ISO,Region,Program Name,Authority / Portal,Official URL,Source type,program_type
1,Switzerland,CHE,Europe,B-Permit (Residence Permit for Employment),State Secretariat for Migration (SEM),https://www.sem.admin.ch/sem/en/home/themen/arbeit.html,Official,Employer-Sponsored
1,Switzerland,CHE,Europe,Highly Qualified Non-EU Worker Quota,SEM – Quota System,https://www.sem.admin.ch/sem/en/home/themen/arbeit/nicht-eu_efta-angehoerige.html,Official,Employer-Sponsored
2,Netherlands,NLD,Europe,Highly Skilled Migrant (HSM) Permit,IND (Immigration & Naturalisation Service),https://ind.nl/en/residence-permits/work/highly-skilled-migrant,Official,Employer-Sponsored
2,Netherlands,NLD,Europe,EU Blue Card,IND,https://ind.nl/en/residence-permits/work/eu-blue-card,Official,Employer-Sponsored
2,Netherlands,NLD,Europe,Orientation Year (Zoekjaar),IND,https://ind.nl/en/residence-permits/work/orientation-year-highly-educated-persons,Official,Exceptional-Talent
2,Netherlands,NLD,Europe,Startup Visa (Startupvisum),IND,https://ind.nl/en/residence-permits/work/start-up,Official,Founder-Startup
3,Ireland,IRL,Europe,Critical Skills Employment Permit,DETE (Dept of Enterprise),https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/permit-types/critical-skills-employment-permit/,Official,Employer-Sponsored
3,Ireland,IRL,Europe,General Employment Permit,DETE,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/permit-types/general-employment-permit/,Official,Employer-Sponsored
3,Ireland,IRL,Europe,Start-up Entrepreneur Programme (STEP),Dept of Justice (Immigration Service Delivery),https://www.irishimmigration.ie/coming-to-work-in-ireland/what-are-my-options-for-working-in-ireland/coming-to-set-up-a-business-or-invest-in-ireland/start-up-entrepreneur-programme-step/,Official,Founder-Startup
4,Luxembourg,LUX,Europe,Single Permit (Employed Persons),MIFI / Immigration Directorate,https://guichet.public.lu/en/citoyens/immigration/salaries/salarie-hautement-qualifie.html,Official,Employer-Sponsored
4,Luxembourg,LUX,Europe,EU Blue Card,Immigration Directorate,https://guichet.public.lu/en/citoyens/immigration/salaries/carte-bleue-europeenne.html,Official,Employer-Sponsored
5,Iceland,ISL,Europe,Work Permit for Skilled Workers,Directorate of Immigration (Útlendingastofnun),https://www.utlendingastofnun.is/en/individuals/work-permit/,Official,Employer-Sponsored
6,Germany,DEU,Europe,Skilled Worker Visa (Fachkräfteeinwanderungsgesetz),BAMF / Make it in Germany,https://www.make-it-in-germany.com/en/visa-residence/types/skilled-worker,Official,Employer-Sponsored
6,Germany,DEU,Europe,EU Blue Card Germany,BAMF,https://www.make-it-in-germany.com/en/visa-residence/types/eu-blue-card,Official,Employer-Sponsored
6,Germany,DEU,Europe,Opportunity Card (Chancenkarte),Make it in Germany,https://www.make-it-in-germany.com/en/visa-residence/types/job-seeker-visa/opportunity-card,Official,Points-Based
6,Germany,DEU,Europe,Freiberufler Visa (Liberal Professions),BAMF / Make it in Germany,https://www.make-it-in-germany.com/en/visa-residence/types/self-employment,Official,Professional-Self-Employed
7,Canada,CAN,North America,Express Entry – Federal Skilled Worker,IRCC,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,Official,Points-Based-PR-Direct
7,Canada,CAN,North America,Global Talent Stream,ESDC,https://canada.ca/en/employment-social-development/services/foreign-workers/global-talent.html,Official,Employer-Sponsored
7,Canada,CAN,North America,Provincial Nominee Program (PNP),IRCC,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees.html,Official,Points-Based-PR-Direct
7,Canada,CAN,North America,Start-up Visa Program,IRCC,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/start-visa.html,Official,Founder-Startup
8,Sweden,SWE,Europe,Work Permit (Non-EU),Swedish Migration Agency (Migrationsverket),https://www.migrationsverket.se/English/Private-individuals/Working-in-Sweden/Employed.html,Official,Employer-Sponsored
8,Sweden,SWE,Europe,EU Blue Card,Migrationsverket,https://www.migrationsverket.se/English/Private-individuals/Working-in-Sweden/EU-Blue-Card.html,Official,Employer-Sponsored
9,Singapore,SGP,Asia,Employment Pass (EP),MOM,https://www.mom.gov.sg/passes-and-permits/employment-pass,Official,Employer-Sponsored
