country,programId,programName,fieldKey,fieldLabel,pillar,subFactor,status,classification,valueRawTrunc,sourceUrl,sourceTier,extractionConfidence,validationConfidence
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.1.1,Minimum salary threshold (USD-equivalent),A,A.1,pending_review,POPULATED,0,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.900,0.950
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.1.2,Salary threshold as % of local median wage,A,A.1,pending_review,POPULATED,not_applicable,derived:points-based-program-type,,0.900,0.900
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.1.3,"Alternative qualification pathways (points, capital, patent)",A,A.1,pending_review,POPULATED,no_salary_route,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.900,0.850
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.2.1,Minimum educational requirement,A,A.2,pending_review,POPULATED,secondary,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.750,0.970
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.2.2,Minimum work experience (years),A,A.2,approved,POPULATED,1,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.950,0.950
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.2.3,Language proficiency requirement (level + acceptance list),A,A.2,pending_review,POPULATED,upper_intermediate,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.600,0.850
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.3.1,Occupation list constraint (open / restricted list / shortage list),A,A.3,approved,POPULATED,broad_list,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.850,0.920
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.3.2,Annual quota presence and size,A,A.3,pending_review,POPULATED,no_quota,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.500,0.720
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,A.3.3,Applicant age cap,A,A.3,pending_review,POPULATED,45,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.600,0.970
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.1.1,Published SLA processing time (days),B,B.1,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.1.2,Fast-track option availability and SLA,B,B.1,pending_review,POPULATED,none,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.400,0.600
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.1.3,Number of application steps,B,B.1,pending_review,POPULATED,4,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.600,0.950
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.2.1,Principal applicant fees (USD),B,B.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.2.2,Per-dependant fees (USD),B,B.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.2.3,Employer-borne levies and skill charges (USD),B,B.2,pending_review,POPULATED,"{""hasLevy"": false, ""notes"": ""no employer sponsorship requirement""}",https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,1,0.900,0.720
